date,open,high,low,close,volume,amount,turnover,pct_change,amplitude,change,hs300_open,hs300_close,hs300_high,hs300_low,hs300_volume,hs300_amount,hs300_amplitude,hs300_pct_change,hs300_change,hs300_turnover,hs300_daily_return,hs300_return_5d,hs300_return_20d,csi_pharma_open,csi_pharma_close,csi_pharma_high,csi_pharma_low,csi_pharma_volume,csi_pharma_amount,csi_pharma_amplitude,csi_pharma_pct_change,csi_pharma_change,csi_pharma_turnover,csi_pharma_daily_return,csi_pharma_return_5d,csi_pharma_return_20d,chinext_open,chinext_close,chinext_high,chinext_low,chinext_volume,chinext_amount,chinext_amplitude,chinext_pct_change,chinext_change,chinext_turnover,chinext_daily_return,chinext_return_5d,chinext_return_20d,valuation_close,valuation_pct_change,total_market_cap,float_market_cap,total_shares,float_shares,pe_ttm,pe_static,pb,peg,pcf,ps,daily_return,return_5d,return_20d,ma5,ma10,ma20,ma60,volume_ma5,volume_ma20,volatility_5d,volatility_20d,rsi14,macd,macd_signal,macd_hist,boll_mid,boll_upper,boll_lower,boll_width,future_5d_return,future_5d_direction,trade_year,period,year,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,revenue_growth,net_profit_growth,topsis_score,rank,disclosure_date,disclosure_source,report_type,fundamental_mapping_method
2019-01-02,77.31,78.13,73.56,74.36,20023,343300720.0,1.18,-3.19,5.95,-2.45,3017.07,2969.54,3018.78,2958.49,68663022,76105572352.0,2.0,-1.37,-41.11,0.21,,,,7685.73,7414.24,7687.72,7407.03,7560342,13644630784.0,3.65,-3.67,-282.82,0.76,,,,1250.62,1228.77,1251.23,1226.87,37899531,40715423232.0,1.95,-1.74,-21.76,0.68,,,,170.1,-2.8,28936096276.5,28918334604.6,170112265.0,170007846.0,28.54854906,28.74935886,5.46474558,0.21350076,47.15825252,5.17239604,,,,,,,,,,,,,,,,,,,,0.05863367401828934,1.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
2019-01-03,74.31,74.79,72.83,73.27,18945,320530768.0,1.11,-1.47,2.64,-1.09,2963.02,2964.84,3000.44,2953.25,70867103,76664799232.0,1.59,-0.16,-4.7,0.21,-0.0015827367201654,,,7373.37,7251.74,7399.6,7230.12,7013583,11892437248.0,2.29,-2.19,-162.5,0.71,-0.0219172834977017,,,1226.74,1214.5,1240.29,1213.87,46874281,45978385408.0,2.15,-1.16,-14.27,0.84,-0.0116132392555157,,,167.92,-1.281599059377,28565251538.8,28547717500.32,170112265.0,170007846.0,28.18267112,28.38090734,5.39470945,0.21076453,46.5538728,5.10610666,-0.01465841850457239,,,,,,,,,,,,,,,,,,,0.06264501160092806,1.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
2019-01-04,73.25,76.97,71.97,75.56,22634,386302384.0,1.33,3.13,6.82,2.29,2940.19,3035.87,3036.81,2935.83,103318971,107141038080.0,3.41,2.4,71.03,0.31,0.0239574479567192,,,7166.84,7447.07,7447.07,7165.34,9896275,14501168384.0,3.88,2.69,195.33,1.0,0.0269356044204562,,,1203.67,1245.16,1246.39,1201.8,57771141,55816723456.0,3.67,2.52,30.66,1.04,0.0252449567723342,,,172.5,2.72748928061,29344365712.5,29326353435.0,170112265.0,170007846.0,28.95135045,29.15499355,5.54184957,0.21651311,47.82362469,5.24537518,0.03125426504708617,,,,,,,,,,,,,,,,,,,0.03652726310217025,1.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
2019-01-07,75.97,77.46,75.46,77.05,15875,276921536.0,0.93,1.97,2.65,1.49,3055.15,3054.3,3061.75,3035.91,101164360,105703940096.0,0.85,0.61,18.43,0.31,0.0060707474298966,,,7471.38,7472.69,7483.58,7416.18,8445915,12538827008.0,0.91,0.34,25.62,0.85,0.0034402791970533,,,1250.4,1268.06,1270.36,1244.82,63864038,61925681408.0,2.05,1.84,22.9,1.15,0.0183912107680939,,,175.48,1.727536231884,29851300262.2,29832976816.08,170112265.0,170007846.0,29.45149552,29.65865663,5.63758703,0.22025346,48.64979514,5.33599093,0.019719428268925254,,,,,,,,,,,,,,,,,,,-0.03621025308241388,0.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
2019-01-08,77.05,77.98,75.6,77.06,12149,213163616.0,0.71,0.01,3.09,0.01,3049.87,3047.7,3055.51,3038.53,86170586,79628881920.0,0.56,-0.22,-6.6,0.26,-0.0021608879284943,,,7460.24,7484.63,7510.86,7443.16,6551609,9355270400.0,0.91,0.16,11.94,0.66,0.0015978181886309,,,1262.2,1263.51,1270.43,1258.57,59502582,54821193216.0,0.94,-0.36,-4.55,1.07,-0.0035881582890399,,,175.5,0.011397310235,29854702507.5,29836376973.0,170112265.0,170007846.0,29.4548522,29.66203692,5.63822957,0.22027856,48.6553399,5.33659909,0.00012978585334200154,,,75.46000000000001,,,,17925.2,,,,,,,,,,,,0.04866337918505059,1.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
2019-01-09,77.31,81.22,76.36,78.72,21348,384035472.0,1.26,2.15,6.31,1.66,3065.23,3078.48,3117.96,3062.85,107364349,117129678848.0,1.81,1.01,30.78,0.32,0.0100994192341765,0.0366858166584724,,7502.32,7557.31,7663.46,7481.73,9098388,13183715072.0,2.43,0.97,72.68,0.92,0.0097105668550081,0.0192966507693304,,1263.73,1262.52,1285.31,1258.62,67379459,64890106368.0,2.11,-0.08,-0.99,1.21,-0.000783531590569,0.027466490881125,,178.83,1.897435897436,30421176349.95,30402503100.18,170112265.0,170007846.0,30.01373914,30.22485505,5.74521136,0.2244582,49.57854379,5.43785764,0.021541655852582275,0.05863367401828934,,76.332,,,,18190.2,,0.018521083193807807,,,,,,,,,,0.038871951219512146,1.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
2019-01-10,78.66,78.99,77.4,77.86,14048,249271737.0,0.83,-1.09,2.02,-0.86,3077.48,3072.69,3092.54,3062.57,85271757,90206871552.0,0.97,-0.19,-5.79,0.26,-0.001880798316052,0.0363763305945683,,7541.3,7507.16,7580.39,7468.97,7982376,11189372672.0,1.47,-0.66,-50.15,0.8,-0.006635959091264,0.0352218915736084,,1262.1,1258.99,1270.66,1255.74,60079140,54960793344.0,1.18,-0.28,-3.53,1.08,-0.0027959953109653,0.0366323589954713,,177.1,-0.96739920595,30126882131.5,30108389526.6,170112265.0,170007846.0,29.72338646,29.93246004,5.68963223,0.2222868,49.09892135,5.38525185,-0.010924796747967425,0.06264501160092806,,77.25,,,,17210.8,,0.017227999512272208,,,,,,,,,,0.055869509375802595,1.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
2019-01-11,78.44,79.19,77.61,78.32,10030,178360751.0,0.59,0.59,2.03,0.46,3082.26,3094.78,3102.83,3071.03,71786424,77420240896.0,1.03,0.72,22.09,0.22,0.0071891404599879,0.0194046517143355,,7503.06,7490.63,7532.25,7426.67,7191620,9347601664.0,1.41,-0.22,-16.53,0.72,-0.0022018979214509,0.0058492803209853,,1260.0,1261.56,1266.67,1252.3,57687060,53791610368.0,1.14,0.2,2.57,1.04,0.002041318834939,0.013170998104661,,178.03,0.525127046866,30285086537.95,30266496823.38,170112265.0,170007846.0,29.87947201,30.08964349,5.71951003,0.22345408,49.35675307,5.41353126,0.0059080400719238035,0.03652726310217025,,77.80199999999999,,,,14690.0,,0.013624945232120125,,,,,,,,,,0.09780388151174679,1.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
2019-01-14,78.01,78.81,73.06,74.26,25136,432019232.0,1.48,-5.18,7.34,-4.06,3092.5,3067.78,3097.41,3064.38,66121702,68115969024.0,1.07,-0.87,-27.0,0.2,-0.0087243681295601,0.0044134498903185,,7492.88,7357.8,7498.19,7344.94,7489129,10157010688.0,2.05,-1.77,-132.83,0.75,-0.0177328208708746,-0.0153746508954606,,1263.02,1246.0,1264.04,1243.53,56699159,51815207680.0,1.63,-1.23,-15.56,1.02,-0.0123339357620723,-0.0173966531552134,,169.91,-4.561029040049,28903774946.15,28886033113.86,170112265.0,170007846.0,28.51666061,28.71724611,5.45864151,0.21326228,47.10557723,5.16661853,-0.05183861082737473,-0.03621025308241388,,77.244,,,,16542.2,,0.027649483486685496,,,,,,,,,,0.14543495825478048,1.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
2019-01-15,74.81,80.87,74.31,80.81,33998,609305776.0,2.0,8.82,8.83,6.55,3071.52,3127.99,3129.37,3064.67,88772961,99976892416.0,2.11,1.96,60.21,0.27,0.0196265703538061,0.0263444564753747,,7369.47,7548.98,7550.87,7354.08,8115516,12239220992.0,2.67,2.6,191.18,0.82,0.0259833102286008,0.008597619387999,,1243.93,1266.27,1267.65,1238.59,58126894,53805117184.0,2.33,1.63,20.27,1.04,0.0162680577849116,0.0021843911009806,,183.0,7.704078629863,31130544495.0,31111435818.0,170112265.0,170007846.0,30.71360657,30.92964533,5.87917955,0.22969217,50.73462794,5.56465888,0.08820360894155654,0.04866337918505059,,77.994,76.727,,,20912.0,,0.05129802387541211,,,,,,,,,,0.027843088726642762,1.0,2019,2017-12-31,2017,4102000000.000001,662000000.0,15.99,81.94,22.61,29.26,2.66,41.59475319295824,36.49484536082477,0.3074792232604887,9,2018-02-09,stock_report_disclosure,2017年报,disclosure_date_asof
